lot_id,item,item_type,sku,operation,department,machine,scheduled_start,scheduled_finish,duration_h,qty,uom,status
L000075,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-04 20:53:18+05:30,2026-04-04 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000139,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-04 20:53:18+05:30,2026-04-04 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000203,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-04 20:53:18+05:30,2026-04-04 21:48:19+05:30,0.9169333333333334,69.0,NOS,PLACED
L000693,IL007,Inner Liner,1325215813079TUNE3,RHC,CALENDERING,"""1101""",2026-04-04 21:35:39+05:30,2026-04-04 21:54:59+05:30,0.322,483000.0,MM,PLACED
L000268,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3410""",2026-04-04 21:48:19+05:30,2026-04-04 22:43:20+05:30,0.9169333333333334,69.0,NOS,PLACED
L000332,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-04 21:48:19+05:30,2026-04-04 22:43:20+05:30,0.9169333333333334,69.0,NOS,PLACED
L000396,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-04 21:48:19+05:30,2026-04-04 22:43:20+05:30,0.9169333333333334,69.0,NOS,PLACED
L000692,HTPOLY350,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-04 22:19:43+05:30,2026-04-04 22:24:03+05:30,0.07213285371694445,181774.7913669065,MM,PLACED
CURE_B00696,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4502,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B00787,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4503,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B00876,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4504,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01324,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4509,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01502,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4511,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01680,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4513,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01858,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4515,2026-04-04 23:00:00+05:30,2026-04-05 07:00:00+05:30,8.0,69.0,NOS,PINNED
L000688,CPJ120,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-04 23:08:03+05:30,2026-04-04 23:12:47+05:30,0.07883791176444445,189210.9882352941,MM,PLACED
L000685,B616M,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-04-04 23:38:25+05:30,2026-04-04 23:42:25+05:30,0.06666666666666667,430.0,KG,PLACED
L000690,EGSL01,Steel Belt Edge Strip,1325215813079TUNE3,EDGE GUM,SLITTER,"""601""",2026-04-05 03:05:08+05:30,2026-04-05 03:12:47+05:30,0.12742,229356.0,MM,PLACED
L000681,B1-PBLT001,Steel Belt,1325215813079TUNE3,BELT CUTTER,CUTTING,"""801""",2026-04-05 03:22:47+05:30,2026-04-05 03:54:59+05:30,0.5366666666666666,483.0,NOS,PLACED
L000695,PBP143,Ply,1325215813079TUNE3,PLY CUTTER,PLY CUTTER,"""1103""",2026-04-05 03:22:47+05:30,2026-04-05 03:54:59+05:30,0.5366666666666666,483.0,NOS,PLACED
L000689,Cap 66 - MOTHER ROLL,Cap Strip,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 03:52:25+05:30,2026-04-05 03:53:59+05:30,0.025967741935277778,48300.0,MM,PLACED
L000687,CAP 66 - CAPSTRIP,Cap Strip,1325215813079TUNE3,CAP PLY SLITTER,CAP PLY SLITTER,"""702""",2026-04-05 03:58:59+05:30,2026-04-05 03:59:59+05:30,0.016666666666666666,9726171.0,MM,PLACED
L000682,B2-PBLT001,Steel Belt,1325215813079TUNE3,BELT CUTTER,CUTTING,"""801""",2026-04-05 04:00:59+05:30,2026-04-05 04:33:11+05:30,0.5366666666666666,483.0,NOS,PLACED
L000724,T1333,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-04-05 04:21:49+05:30,2026-04-05 04:43:31+05:30,0.3616666666666667,2200.0,KG,PLACED
L000725,T15,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-04-05 04:37:00+05:30,2026-04-05 04:43:31+05:30,0.1085,660.0,KG,PLACED
L000012,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-05 04:43:11+05:30,2026-04-05 05:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
